ApName,Super Build／SS7,,,,,,,,,,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,,,,,,,,,,
工事名,（仮称）ドラッグコスモス人吉店　新築工事,,,,,,,,,,,,,,,,,,,,,,,
略称,コスモス人吉店,,,,,,,,,,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,,,,,,,,,,
出力日時,2020/9/30 9:41,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,,,,,,,,,,
,F値,,,,,,,上端筋,その他,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
Fc21(普通),21,7,,0.7,14,,1.05,1.14,1.43,<RE>,,,,,,,,,,,,,,
"SD295A(D13,D16)",295,195,195,195,295,295,295,,,<RE>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=独立基礎断面リスト,,,,,,,,,,,,,,,,,,,,,,,,
符号,コンクリート,,,,配筋,,,,,,設計支持力,,基礎柱,,,,,,,,,,,
,Lx×Ly,せい,Df,材料,X方向,,,Y方向,,,支持力度,,,,,,,,,,,,,
,,,,,本数-径,材料,dt,本数-径,材料,dt,長期,短期,,,,,,,,,,,,
,mm,mm,mm,,,,mm,,,mm,kN/m2,kN/m2,mm,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,8,C,上部,-81.1,0,-2.2,-0.00002,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,-0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,9,C,上部,-27.5,0,0,0.00008,0,,,,,,,,,,,,,,,,
,,,偏心,-0.5,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,c1,上部,-10.7,-2.8,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.5,0.1,0,0,0.00001,<RE>,,,,,,,,,,,,,,,
1,9,c1,上部,-26.4,-4.6,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.3,0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,D,上部,-28.4,0,0,0.00014,0,,,,,,,,,,,,,,,,
,,,偏心,4.1,0,0,0,-0.00002,<RE>,,,,,,,,,,,,,,,
1,2,D,上部,-28.2,0,0,-0.00003,0.00002,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,D,上部,-24.8,0,0,0.00001,0.00002,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,D,上部,-25.3,0,0,0,0.00002,,,,,,,,,,,,,,,,
,,,偏心,1,0,0,0,-0.00003,<RE>,,,,,,,,,,,,,,,
1,6,D,上部,-6.5,0,0,0,0.00003,,,,,,,,,,,,,,,,
,,,偏心,0.9,0,0,0,-0.00003,<RE>,,,,,,,,,,,,,,,
1,7,D,上部,-26.4,0,0,0,0.00004,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,D,上部,-57.1,0,0,0,0.00006,,,,,,,,,,,,,,,,
,,,偏心,2.1,0,0,0,-0.00006,<RE>,,,,,,,,,,,,,,,
1,9,D,上部,-19,0,0,0.00002,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,E,上部,-26.7,0,0,0.00004,0,,,,,,,,,,,,,,,,
,,,偏心,-1.6,0,0,-0.00001,0.00004,<RE>,,,,,,,,,,,,,,,
1,2,E,上部,-18.1,0,0,-0.00001,-0.00002,,,,,,,,,,,,,,,,
,,,偏心,1,0,0,0.00001,0,<RE>,,,,,,,,,,,,,,,
1,4,E,上部,-12.1,0,0,0,-0.00002,,,,,,,,,,,,,,,,
,,,偏心,-1.3,0,0,0.00001,0.00001,<RE>,,,,,,,,,,,,,,,
1,5,E,上部,-11.2,0,0,0,-0.00002,,,,,,,,,,,,,,,,
,,,偏心,-1.4,0,0,0,0.00008,<RE>,,,,,,,,,,,,,,,
1,6,E,上部,-11.2,0,0,0,-0.00003,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0.00007,<RE>,,,,,,,,,,,,,,,
1,7,E,上部,7.2,0,0,0,-0.00004,,,,,,,,,,,,,,,,
,,,偏心,-2.3,0,0,0.00001,0,<RE>,,,,,,,,,,,,,,,
1,8,E,上部,-34,0,0,0,-0.00006,,,,,,,,,,,,,,,,
,,,偏心,0.6,0,0,0,0.00017,<RE>,,,,,,,,,,,,,,,
1,9,E,上部,-11,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.6,0,0,-0.00001,0.00001,<RE>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎反力表,case=WY+,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,上部,-19.8,0,0,0,-0.00001,,,,,,,,,,,,,,,,
,,,偏心,-3.1,0,0,0,-0.00009,<RE>,,,,,,,,,,,,,,,
1,2,A,上部,-31.2,0,0,0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,-0.3,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,3,A,上部,-10.2,0,0,-0.00001,-0.00003,,,,,,,,,,,,,,,,
,,,偏心,0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,B,上部,-11.6,0,0,0.00003,0,,,,,,,,,,,,,,,,
,,,偏心,4.5,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,B,上部,-31.5,0,0,0,-0.00005,,,,,,,,,,,,,,,,
,,,偏心,1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,B,上部,-26.7,0,5.3,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.1,0,0.1,0.00002,0,<RE>,,,,,,,,,,,,,,,
1,5,B,上部,-27.9,0,7.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.8,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,B,上部,-27,0,7.2,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.6,0,0,0.00001,0,<RE>,,,,,,,,,,,,,,,
1,7,B,上部,-27,0,7.2,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.7,0,0,-0.00001,0,<RE>,,,,,,,,,,,,,,,
1,8,B,上部,-26.4,0,7.3,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.2,0,0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,9,B,上部,-9.7,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.3,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,b2,上部,-49.4,-3.4,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.3,-0.1,0,0,0.00004,<RE>,,,,,,,,,,,,,,,
1,9,b2,上部,-49,3.3,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.7,-0.1,0,0,0.00001,<RE>,,,,,,,,,,,,,,,
1,1,C,上部,-10.9,0,0,0.00004,0,,,,,,,,,,,,,,,,
,,,偏心,-3.8,0,0,0,-0.00001,<RE>,,,,,,,,,,,,,,,
1,2,C,上部,-62.1,0,0.1,-0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,4,C,上部,-60.5,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,C,上部,-59.9,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,C,上部,-58.2,0,-0.3,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,C,上部,-58,0,-0.3,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,C,上部,-59.5,0,-0.3,0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,-0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,9,C,上部,-10.8,0,0,-0.00004,0,,,,,,,,,,,,,,,,
,,,偏心,-4,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,c1,上部,20.6,-2.4,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2,0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,9,c1,上部,21.6,2.4,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-1.8,0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,D,上部,-14.8,0,0,0.00005,0,,,,,,,,,,,,,,,,
,,,偏心,4.3,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,D,上部,-26.5,0,0,-0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,D,上部,-24.6,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,D,上部,-24.6,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.9,0,0,0,-0.00003,<RE>,,,,,,,,,,,,,,,
1,6,D,上部,-25.9,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1,0,0,0,-0.00003,<RE>,,,,,,,,,,,,,,,
1,7,D,上部,-26,0,0,0,0.00001,,,,,,,,,,,,,,,,
,,,偏心,0.9,0,0,0,-0.00003,<RE>,,,,,,,,,,,,,,,
1,8,D,上部,-26.3,0,0,0,0.00001,,,,,,,,,,,,,,,,
,,,偏心,0.8,0,0,0,-0.00002,<RE>,,,,,,,,,,,,,,,
1,9,D,上部,-9.4,0,0,-0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,3.3,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,E,上部,-13,0,0,0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,-0.9,0,0,0,0.00002,<RE>,,,,,,,,,,,,,,,
1,2,E,上部,-16.4,0,0,0,-0.00001,,,,,,,,,,,,,,,,
,,,偏心,1,0,0,0.00001,0,<RE>,,,,,,,,,,,,,,,
1,4,E,上部,-12.1,0,0,0,-0.00001,,,,,,,,,,,,,,,,
,,,偏心,-1.2,0,0,0.00001,0,<RE>,,,,,,,,,,,,,,,
1,5,E,上部,-10.8,0,0,0,-0.00001,,,,,,,,,,,,,,,,
,,,偏心,-1.2,0,0,0,0.00008,<RE>,,,,,,,,,,,,,,,
1,6,E,上部,-10.8,0,0,0,-0.00001,,,,,,,,,,,,,,,,
,,,偏心,-0.9,0,0,0,0.00008,<RE>,,,,,,,,,,,,,,,
1,7,E,上部,-10.5,0,0,0,-0.00004,,,,,,,,,,,,,,,,
,,,偏心,-1.1,0,0,0,0.00008,<RE>,,,,,,,,,,,,,,,
1,8,E,上部,-10.8,0,0,0,-0.00004,,,,,,,,,,,,,,,,
,,,偏心,-0.5,0,0,0,0.00007,<RE>,,,,,,,,,,,,,,,
1,9,E,上部,-5.4,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-1.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎反力表,case=WY-,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,上部,-17.6,0,0,0,0.00001,,,,,,,,,,,,,,,,
,,,偏心,-2.6,0,0,0,-0.00009,<RE>,,,,,,,,,,,,,,,
1,2,A,上部,-29.5,0,0,0,0.00009,,,,,,,,,,,,,,,,
,,,偏心,-0.4,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,3,A,上部,-9.8,0,0,-0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,0.2,0,0,0,-0.00001,<RE>,,,,,,,,,,,,,,,
1,1,B,上部,-26.8,0,0,0.00002,0,,,,,,,,,,,,,,,,
,,,偏心,3,0,0,0,0.00001,<RE>,,,,,,,,,,,,,,,
1,2,B,上部,-66,0,0,0,-0.00012,,,,,,,,,,,,,,,,
,,,偏心,1.9,0,0,-0.00001,0,<RE>,,,,,,,,,,,,,,,
1,4,B,上部,-55.2,0,4.2,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.2,0,0.2,0.00005,0,<RE>,,,,,,,,,,,,,,,
1,5,B,上部,-54.1,0,5.5,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.2,0,0,0.00001,0,<RE>,,,,,,,,,,,,,,,
1,6,B,上部,-54.4,0,5.8,0,0,,,,,,,,,,,,,,,,
,,,偏心,-4.9,0,0,0.00002,0,<RE>,,,,,,,,,,,,,,,
1,7,B,上部,-54.4,0,5.7,0,0,,,,,,,,,,,,,,,,
,,,偏心,-5.5,0,0,-0.00002,0,<RE>,,,,,,,,,,,,,,,
1,8,B,上部,-54.6,0,5.8,0,0,,,,,,,,,,,,,,,,
,,,偏心,4.4,0,0.1,-0.00001,0,<RE>,,,,,,,,,,,,,,,
1,9,B,上部,-18.4,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,b2,上部,-7.4,-3.1,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.7,-0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,9,b2,上部,-6.1,3.1,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.1,-0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,C,上部,-28.4,0,0,0.00004,0,,,,,,,,,,,,,,,,
,,,偏心,1.6,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,C,上部,-122.6,0,-3.2,-0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,4,C,上部,-118.6,0,-3.2,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,C,上部,-117.1,0,-3.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,C,上部,-114.2,0,-3.7,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,C,上部,-113.9,0,-3.7,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,C,上部,-116.2,0,-3.8,0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,-0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,9,C,上部,-27.5,0,0,-0.00004,0,,,,,,,,,,,,,,,,
,,,偏心,1.4,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,c1,上部,-44.2,-2.4,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.8,0.1,0,0,0.00003,<RE>,,,,,,,,,,,,,,,
1,9,c1,上部,-44.6,2.4,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.8,0.1,0,0,0.00001,<RE>,,,,,,,,,,,,,,,
1,1,D,上部,-28.3,0,0,0.00009,0,,,,,,,,,,,,,,,,
,,,偏心,1.4,0,0,0,-0.00003,<RE>,,,,,,,,,,,,,,,
1,2,D,上部,-53,0,0,-0.00002,0.00002,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,D,上部,-49.9,0,0,0,0.00002,,,,,,,,,,,,,,,,
,,,偏心,0.2,0,0,0,-0.00001,<RE>,,,,,,,,,,,,,,,
1,5,D,上部,-49.8,0,0,0,0.00002,,,,,,,,,,,,,,,,
,,,偏心,1.9,0,0,0,-0.00006,<RE>,,,,,,,,,,,,,,,
1,6,D,上部,-53.2,0,0,0,0.00005,,,,,,,,,,,,,,,,
,,,偏心,2,0,0,0,-0.00007,<RE>,,,,,,,,,,,,,,,
1,7,D,上部,-51.1,0,0,0,0.00004,,,,,,,,,,,,,,,,
,,,偏心,2.2,0,0,0,-0.00008,<RE>,,,,,,,,,,,,,,,
1,8,D,上部,-50.2,0,0,0,0.00004,,,,,,,,,,,,,,,,
,,,偏心,1.7,0,0,0,-0.00006,<RE>,,,,,,,,,,,,,,,
1,9,D,上部,-17.6,0,0,-0.00002,0,,,,,,,,,,,,,,,,
,,,偏心,-1.9,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,E,上部,-31.1,0,0,0.00003,0,,,,,,,,,,,,,,,,
,,,偏心,-1.1,0,0,-0.00002,0.00005,<RE>,,,,,,,,,,,,,,,
1,2,E,上部,-41.9,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.4,0,0,0.00003,0.00001,<RE>,,,,,,,,,,,,,,,
1,4,E,上部,-28.3,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.9,0,0,0.00003,0.00002,<RE>,,,,,,,,,,,,,,,
1,5,E,上部,-23,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.5,0,0,0,0.00017,<RE>,,,,,,,,,,,,,,,
1,6,E,上部,-23.2,0,0,0,-0.00001,,,,,,,,,,,,,,,,
,,,偏心,-2.1,0,0,0,0.00019,<RE>,,,,,,,,,,,,,,,
1,7,E,上部,-25.6,0,0,0,0.00002,,,,,,,,,,,,,,,,
,,,偏心,-2.3,0,0,0,0.0002,<RE>,,,,,,,,,,,,,,,
1,8,E,上部,-22.2,0,0,0,0.00002,,,,,,,,,,,,,,,,
,,,偏心,-1.2,0,0,0,0.00015,<RE>,,,,,,,,,,,,,,,
1,9,E,上部,-11.8,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-1.6,0,0,-0.00001,0.00001,<RE>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎反力表,case=EX+,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,上部,-0.7,0,0,-0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,A,上部,-1.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,3,A,上部,1.8,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,B,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,B,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,B,上部,0.1,0,-0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.8,0,-0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,5,B,上部,-42.7,0,-0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.6,0,0,0.00002,0,<RE>,,,,,,,,,,,,,,,
1,6,B,上部,0.1,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,-4.3,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,B,上部,-0.1,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,3.5,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,B,上部,42.7,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,-1.3,0,0.1,0.00001,0,<RE>,,,,,,,,,,,,,,,
1,9,B,上部,0.2,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-1.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,b2,上部,0.3,0.9,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,9,b2,上部,-0.3,0.9,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,C,上部,-0.3,0,0,-0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,C,上部,0.1,0,-0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,-0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,4,C,上部,-0.1,0,-0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,C,上部,0.1,0,-0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,C,上部,0.1,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,C,上部,0.1,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,C,上部,-0.1,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,9,C,上部,0.3,0,0,-0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,c1,上部,-0.3,0.9,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,-0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,9,c1,上部,0.3,0.9,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.3,-0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,D,上部,-0.3,0,0,-0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,D,上部,0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,D,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,D,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,D,上部,-43.5,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.3,0,0,0,-0.00001,<RE>,,,,,,,,,,,,,,,
1,7,D,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.4,0,0,0,-0.00006,<RE>,,,,,,,,,,,,,,,
1,8,D,上部,43.5,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.1,0,0,0,0.00006,<RE>,,,,,,,,,,,,,,,
1,9,D,上部,0.2,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,E,上部,-0.2,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,E,上部,0.2,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,E,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,E,上部,0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.6,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,E,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.2,0,0,0.00001,0.00003,<RE>,,,,,,,,,,,,,,,
1,7,E,上部,-41.8,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,2,0,0,-0.00002,0.00019,<RE>,,,,,,,,,,,,,,,
1,8,E,上部,41.8,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.6,0,0,-0.00001,-0.00017,<RE>,,,,,,,,,,,,,,,
1,9,E,上部,0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.5,0,0,0.00002,0,<RE>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎反力表,case=EX-,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,上部,0.7,0,0,0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,A,上部,1.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,3,A,上部,-1.8,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,B,上部,0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,B,上部,0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,B,上部,-0.1,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.8,0,0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,5,B,上部,42.7,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.6,0,0,-0.00002,0,<RE>,,,,,,,,,,,,,,,
1,6,B,上部,-0.1,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,4.3,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,B,上部,0.1,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,-3.5,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,B,上部,-42.7,0,-0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.3,0,-0.1,-0.00001,0,<RE>,,,,,,,,,,,,,,,
1,9,B,上部,-0.2,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,b2,上部,-0.3,-0.9,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,-0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
