ApName,Super Build／SS7,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,
工事名,佐川急便株式会社九州航空営業所新築工事,,,,,,,,,,,,,,
略称,倉庫棟,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,
出力日時,2020/9/1 17:02,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,
,F値,,,,,,,上端筋,その他,,,,,,
,,,,,,,,,,,,,,,
,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,,,,,,
<data>,,,,,,,,,,,,,,,
Fc24(普通),24,8,,0.73,16,,1.1,1.2,1.5,<RE>,,,,,
SD295A(D13),295,195,195,195,295,295,295,,,<RE>,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=独立基礎断面リスト,,,,,,,,,,,,,,,
符号,コンクリート,,,,配筋,,,,,,設計支持力,,,,
,Lx×Ly,せい,Df,材料,X方向,,,Y方向,,,支持力度,,,,
,,,,,本数-径,材料,dt,本数-径,材料,dt,長期,短期,,,
,mm,mm,mm,,,,mm,,,mm,kN/m2,kN/m2,,,
1SL,9,G,H,FG1,1,8640,上部,107.6,20,147.6,29.6,-29.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎反力表,case=G+P,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,
<data>,,,,,,,,,,,,,,,
1SL,7,A,上部,485.5,0,0,-0.00038,-0.00067,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,A,上部,664.3,0,0,0.00008,-0.00087,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,A,上部,359.8,0,0,0.00015,-0.00067,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,B,上部,848.6,0,0,-0.0004,0.00031,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,B,上部,1007.5,0,0,0.00009,0.00097,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,B,上部,706.3,0,0,0.00013,0.00028,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,C,上部,802.3,0,0,-0.00027,-0.00007,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,C,上部,1026.4,0,0,0.00002,-0.00215,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,C,上部,768.6,0,0,0.00015,-0.0003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,D,上部,876.6,0,0,-0.00025,0.00005,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,D,上部,1139.3,0,0,0,0.00224,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,D,上部,898.6,0,0,0.00016,0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,E,上部,1021.1,0,0,-0.0002,-0.0002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,E,上部,1065.6,0,0,-0.00001,-0.00124,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,E,上部,847.8,0,0,0.00018,0.00008,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,F,上部,515.5,0,0,-0.00067,-0.00012,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,F,上部,848.4,0,0,0.00028,-0.00017,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,F,上部,673.8,0,0,-0.00001,-0.00021,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,F,上部,635.1,0,0,-0.00001,-0.00021,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,F,上部,807.3,0,0,0.00003,-0.00023,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,F,上部,986.6,0,0,-0.00038,-0.00025,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,G,上部,862.1,0,0,-0.00128,-0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,G,上部,1163.9,0,0,0.00142,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,G,上部,958,0,0,-0.00063,-0.00004,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,G,上部,911.2,0,0,0.00063,-0.00004,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,G,上部,1113.5,0,0,-0.00145,-0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,G,上部,1304.8,0,0,0.00155,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,G,上部,1180.8,0,0,-0.00038,0.00007,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,G,上部,1121.3,0,0,0.00012,0.00056,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,G,上部,718.1,0,0,0.00004,0.00014,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,H,上部,509.1,0,0,-0.00077,0.00025,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,H,上部,833.6,0,0,0.00035,0.00022,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,H,上部,681,0,0,-0.00009,0.00036,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,H,上部,663.2,0,0,0.00006,0.00036,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,H,上部,818.6,0,0,-0.00015,0.00034,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,H,上部,970,0,0,0.00001,0.00033,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,H,上部,744.7,0,0,0.00016,0.00027,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,H,上部,519.3,0,0,-0.00004,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,H,上部,349.6,0,0,0.00015,0.00029,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎反力表,case=S,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,
<data>,,,,,,,,,,,,,,,
1SL,7,A,上部,12.2,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,A,上部,10,0,0,0,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,A,上部,5.4,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,B,上部,23.4,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,B,上部,21,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,B,上部,10.7,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,C,上部,25.9,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,C,上部,22.1,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,C,上部,11.5,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,D,上部,30,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,D,上部,26.9,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,D,上部,14,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,E,上部,31.1,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,E,上部,25.7,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,E,上部,12.9,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,F,上部,14.7,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,F,上部,25.8,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,F,上部,22.5,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,F,上部,21.2,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,F,上部,26.8,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,F,上部,33.1,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,G,上部,17.6,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,G,上部,30.5,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,G,上部,24.9,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,G,上部,22.8,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,G,上部,27.8,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,G,上部,34.9,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,G,上部,32.3,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,G,上部,24.2,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,G,上部,12,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,H,上部,8.7,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,H,上部,16.3,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,H,上部,14.2,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,H,上部,13.1,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,H,上部,16.4,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,H,上部,20.3,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,H,上部,14.8,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,H,上部,9,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,H,上部,4.7,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎反力表,case=WX+,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,
<data>,,,,,,,,,,,,,,,
1SL,7,A,上部,-51.2,0,0,-0.00005,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,A,上部,-13.7,0,0,-0.00001,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,A,上部,4.1,0,0,-0.00006,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,B,上部,-103,0,0,-0.00005,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,B,上部,-42,0,0,0,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,B,上部,-2,0,0,-0.00006,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,C,上部,-136.2,0,0,-0.00004,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,C,上部,-63.4,0,0,0,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,C,上部,-4.3,0,0,-0.00005,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,D,上部,-154.1,0,0,-0.00003,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,D,上部,-73.7,0,0,-0.00001,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,D,上部,-9.4,0,0,-0.00005,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,E,上部,-144.9,0,0,-0.00004,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,E,上部,-77.1,0,0,0,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,E,上部,-8.8,0,0,-0.00004,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,F,上部,-35.3,0,0,-0.00009,0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,F,上部,-44.7,0,0,-0.00001,0.00004,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,F,上部,-28.7,0,0,-0.00002,0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,F,上部,-27.9,0,0,-0.00001,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,F,上部,-36.6,0,0,-0.00003,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,F,上部,-43.4,0,0,-0.00003,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,G,上部,-48.7,0,0,-0.0001,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,G,上部,-55.5,0,0,-0.00003,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,G,上部,-37.1,0,0,-0.00004,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,G,上部,-27.6,0,0,-0.00003,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,G,上部,-40.8,0,0,-0.00006,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,G,上部,-44.4,0,0,-0.00006,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,G,上部,-75.1,0,0,-0.00005,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,G,上部,-57.7,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,G,上部,-8.9,0,0,-0.00004,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,H,上部,-29.6,0,0,-0.00008,0.00004,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,H,上部,-32.7,0,0,0,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,H,上部,-21.2,0,0,-0.00002,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,H,上部,-19.9,0,0,-0.00001,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,H,上部,-22.6,0,0,-0.00002,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,H,上部,-27.9,0,0,-0.00002,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,H,上部,-19.1,0,0,-0.00001,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,H,上部,-12.3,0,0,0,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,H,上部,2.5,0,0,-0.00003,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎反力表,case=WX-,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,
<data>,,,,,,,,,,,,,,,
1SL,7,A,上部,-6.7,0,0,0.00007,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,A,上部,-19.8,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,A,上部,-25.5,0,0,0.00006,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,B,上部,-25.3,0,0,0.00008,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,B,上部,-46,0,0,0,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,B,上部,-40.9,0,0,0.00007,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,C,上部,-29.6,0,0,0.00007,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,C,上部,-48.3,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,C,上部,-42.3,0,0,0.00007,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,D,上部,-36.6,0,0,0.00007,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,D,上部,-60.1,0,0,-0.00001,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,D,上部,-47.8,0,0,0.00006,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,E,上部,-38.7,0,0,0.00006,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,E,上部,-56.5,0,0,0,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,E,上部,-43.7,0,0,0.00006,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,F,上部,-20.4,0,0,0.00006,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,F,上部,-38.6,0,0,0.00001,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,F,上部,-33.1,0,0,0.00001,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,F,上部,-30.6,0,0,0.00001,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,F,上部,-37.6,0,0,0.00001,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,F,上部,-49.8,0,0,0.00004,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,G,上部,-18.2,0,0,0.00005,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,G,上部,-43.1,0,0,0.00004,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,G,上部,-29.6,0,0,0.00003,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,G,上部,-34.2,0,0,0.00003,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,G,上部,-35,0,0,0.00004,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,G,上部,-50,0,0,0.00005,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,G,上部,-43.7,0,0,0.00006,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,G,上部,-51.9,0,0,-0.00001,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,G,上部,-39.4,0,0,0.00005,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,H,上部,-5.7,0,0,0.00004,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,H,上部,-20.3,0,0,0.00001,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,H,上部,-18,0,0,0.00001,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,H,上部,-16.7,0,0,0.00001,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,H,上部,-22.7,0,0,0.00001,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,H,上部,-28.2,0,0,0.00002,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,H,上部,-21.2,0,0,0.00002,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,H,上部,-20.3,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,H,上部,-21.6,0,0,0.00003,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎反力表,case=WY+,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,
<data>,,,,,,,,,,,,,,,
1SL,7,A,上部,-18.3,0,0,0.00004,-0.00008,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,A,上部,-19,0,0,0,-0.00008,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,A,上部,-18,0,0,0.00001,-0.00007,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,B,上部,-27.3,0,0,0.00004,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,B,上部,-23.5,0,0,0,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,B,上部,-18.3,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,C,上部,-32.9,0,0,0.00003,-0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,C,上部,-32.1,0,0,0,-0.00007,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,C,上部,-18.7,0,0,0,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,D,上部,-37.2,0,0,0.00002,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,D,上部,-30.8,0,0,0,-0.00005,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,D,上部,-21,0,0,0,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,E,上部,-95.7,0,0,0.00001,-0.00006,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,E,上部,-54.2,0,0,0,-0.00009,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,E,上部,-18,0,0,0,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,F,上部,-71,0,0,0,-0.00009,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,F,上部,-109.9,0,0,0,-0.00006,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,F,上部,-118.5,0,0,0,-0.00007,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,F,上部,-110.5,0,0,0,-0.00006,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,F,上部,-137.9,0,0,-0.00002,-0.00005,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,F,上部,-168.5,0,0,0.00002,-0.00004,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,G,上部,-18.3,0,0,0,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,G,上部,-40.9,0,0,-0.00002,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,G,上部,-57.4,0,0,-0.00001,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,G,上部,-49.1,0,0,0,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,G,上部,-64.9,0,0,-0.00003,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,G,上部,-81.9,0,0,0,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,G,上部,-93.4,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,G,上部,-57.9,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,G,上部,-17.4,0,0,-0.00001,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,H,上部,-1.2,0,0,-0.00001,-0.00011,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,H,上部,-11.1,0,0,0,-0.00011,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,H,上部,-10.3,0,0,0,-0.0001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,H,上部,-9.8,0,0,0,-0.00009,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,H,上部,-14,0,0,-0.00001,-0.00008,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,H,上部,-21.3,0,0,-0.00001,-0.00007,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,H,上部,-11,0,0,0,-0.00008,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,H,上部,-5.8,0,0,0,-0.00007,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,H,上部,1.6,0,0,-0.00001,-0.00005,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎反力表,case=WY-,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,
<data>,,,,,,,,,,,,,,,
1SL,7,A,上部,-32.1,0,0,0,0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,A,上部,-21.4,0,0,0,0.00001,,,,,,,
